Plan: 'Test 2' (Sava2D-Obr-Ost.p02)
Simulation started at: 25Aug2022 12:46:46 PM

Writing Geometry...
Computing 2D Flow Area 'Obuhvat2D' tables: Property tables do not exist.
2D Flow Area 'Obuhvat2D' tables complete 14.16 sec
Completed Writing Geometry

	
Geometric Preprocessor HEC-RAS 6.2 March 2022
 

Finished Processing Geometry

Writing Event Conditions ...
Completed Writing Event Condition Data


Performing Unsteady Flow Simulation  HEC-RAS 6.2 March 2022
 
	
Unsteady Input Summary:
     2D Unsteady SWE-ELM Equation Set (faster)

Maximum adaptive timestep = 20:00.0    Minimum adaptive timestep = 00:02.344
Initial adaptive timestep = 00:37.5

Maximum iteration location		Cell	 WSEL	ERROR	ITERATIONS
01SEP2022 01:54:41  Obuhvat2D	Cell #	     31209	   66.63	   0.253	22
01SEP2022 01:55:00  Obuhvat2D	Cell #	     30970	   66.09	   0.204	24

01SEP2022 01:55:19  Obuhvat2D	Cell #	     31209	   66.85	   0.159	20
01SEP2022 01:55:38  Obuhvat2D	Cell #	     30971	   66.29	   0.198	24
01SEP2022 01:55:56  Obuhvat2D	Cell #	     30971	   66.22	   0.078	21
01SEP2022 01:56:15  Obuhvat2D	Cell #	     31209	   66.85	   0.043	22

01SEP2022 01:56:34  Obuhvat2D	Cell #	     31209	   66.77	   0.077	22
01SEP2022 01:56:53  Obuhvat2D	Cell #	     31209	   66.81	   0.029	21
01SEP2022 01:57:11  Obuhvat2D	Cell #	     30970	   65.96	   0.021	20
01SEP2022 01:57:30  Obuhvat2D	Cell #	     30970	   66.00	   0.047	21

01SEP2022 01:57:49  Obuhvat2D	Cell #	     31209	   66.80	   0.053	21
01SEP2022 01:58:08  Obuhvat2D	Cell #	     30970	   65.94	   0.077	20
01SEP2022 01:58:26  Obuhvat2D	Cell #	     30970	   66.05	   0.118	21
01SEP2022 01:58:45  Obuhvat2D	Cell #	     31209	   66.88	   0.062	20

01SEP2022 01:59:04  Obuhvat2D	Cell #	     30971	   66.19	   0.068	20
01SEP2022 01:59:23  Obuhvat2D	Cell #	     30080	   65.02	   0.008	20
01SEP2022 01:59:41  Obuhvat2D	Cell #	     30319	   65.52	   0.021	22
01SEP2022 02:00:00  Obuhvat2D	Cell #	     31159	   64.84	   0.004	20

01SEP2022 02:00:19  Obuhvat2D	Cell #	     31631	   65.28	   0.003	20
01SEP2022 02:00:38  Obuhvat2D	Cell #	     31631	   65.29	   0.008	20
01SEP2022 02:00:56  Obuhvat2D	Cell #	     30971	   66.22	   0.003	20
01SEP2022 02:02:49  Obuhvat2D	Cell #	     31390	   65.60	   0.022	21

01SEP2022 02:03:08  Obuhvat2D	Cell #	     31390	   65.60	   0.010	21
01SEP2022 02:05:00  Obuhvat2D	Cell #	     30323	   65.29	   0.003	20
01SEP2022 02:05:19  Obuhvat2D	Cell #	     30563	   65.53	   0.013	21
01SEP2022 02:05:38  Obuhvat2D	Cell #	     30324	   65.29	   0.019	20

01SEP2022 02:05:56  Obuhvat2D	Cell #	     30324	   65.30	   0.011	20
01SEP2022 02:06:34  Obuhvat2D	Cell #	     30207	   64.86	   0.022	20
01SEP2022 02:07:49  Obuhvat2D	Cell #	     30446	   64.97	   0.014	20
01SEP2022 02:08:26  Obuhvat2D	Cell #	     30686	   64.60	   0.064	20

01SEP2022 02:09:04  Obuhvat2D	Cell #	     31969	   65.65	   0.005	20
01SEP2022 02:09:41  Obuhvat2D	Cell #	     31613	   65.66	   0.004	20
01SEP2022 02:10:00       timestep =            37.5          (sec)
01SEP2022 02:10:38  Obuhvat2D	Cell #	     31919	   68.21	   0.009	21
01SEP2022 02:11:15  Obuhvat2D	Cell #	     30680	   65.44	   0.048	20

01SEP2022 02:11:53  Obuhvat2D	Cell #	     30680	   65.45	   0.053	20
01SEP2022 02:12:30  Obuhvat2D	Cell #	     30681	   65.26	   0.103	20
01SEP2022 02:13:08  Obuhvat2D	Cell #	     30683	   64.89	   0.057	20
01SEP2022 02:13:07       timestep =            18.75        (sec)
01SEP2022 02:13:26  Obuhvat2D	Cell #	     30693	   59.40	   0.063	21

01SEP2022 02:13:45  Obuhvat2D	Cell #	     30681	   65.19	   0.008	20
01SEP2022 02:14:04  Obuhvat2D	Cell #	     30933	   58.89	   0.230	22
01SEP2022 02:14:04       timestep =              9.375      (sec)
01SEP2022 02:14:13  Obuhvat2D	Cell #	     30693	   59.73	   0.131	20
01SEP2022 02:14:23  Obuhvat2D	Cell #	     30693	   59.39	   0.342	20

01SEP2022 02:14:32  Obuhvat2D	Cell #	     30933	   58.87	   0.036	20
01SEP2022 02:14:41  Obuhvat2D	Cell #	     30933	   59.05	   0.313	22
01SEP2022 02:14:51  Obuhvat2D	Cell #	     30933	   58.91	   0.047	21
01SEP2022 02:15:00  Obuhvat2D	Cell #	     30693	   59.51	   0.231	20

01SEP2022 02:15:09  Obuhvat2D	Cell #	     30693	   59.53	   0.496	21
01SEP2022 02:15:19  Obuhvat2D	Cell #	     30693	   60.24	   0.707	20
01SEP2022 02:15:28  Obuhvat2D	Cell #	     30933	   59.02	   0.204	20
01SEP2022 02:15:38  Obuhvat2D	Cell #	     30693	   59.76	   0.463	21

01SEP2022 02:15:47  Obuhvat2D	Cell #	     30933	   58.75	   0.169	23
01SEP2022 02:15:56  Obuhvat2D	Cell #	     30933	   58.92	   0.254	21
01SEP2022 02:16:06  Obuhvat2D	Cell #	     30933	   58.81	   0.070	20
01SEP2022 02:16:15  Obuhvat2D	Cell #	     30933	   59.05	   0.158	20

01SEP2022 02:16:24  Obuhvat2D	Cell #	     30693	   60.34	   0.390	21
01SEP2022 02:16:34  Obuhvat2D	Cell #	     30933	   59.08	   0.107	20
01SEP2022 02:16:43  Obuhvat2D	Cell #	     30693	   60.25	   0.091	21
01SEP2022 02:16:53  Obuhvat2D	Cell #	     30933	   59.15	   0.090	20

01SEP2022 02:17:02  Obuhvat2D	Cell #	     30693	   60.24	   0.033	20
01SEP2022 02:17:11  Obuhvat2D	Cell #	     30693	   59.23	   1.009	22
01SEP2022 02:17:21  Obuhvat2D	Cell #	     30693	   60.44	   0.546	20
